id,ward_no,Services,service_type,Location_latitude,Location_longitude,Location_altitude,Location_precision,Image,Available_Service,Service_Hour,Ownership,Capacity,Open_Space,Area_of_Open_Space,Capacity_of_Open_Space,Contact_Number,Area,Emergency_Contact_No,Service_Area
1,15,utility_infrastructure,telecommunication,28.1902127,83.9985308,867.3599878,4.2,1614157214421.jpg,n/a,24,,,,,,,,,
2,15,utility_infrastructure,telecommunication,28.1939172,83.9966086,867.3599878,4.76,1614157214421.jpg,n/a,24,,,,,,,,,
3,15,utility_infrastructure,telecommunication,28.1958497,83.991181,867.3599878,4.583,1614157214421.jpg,n/a,24,,,,,,,,,
5,15,emergency_services,health_facilities,28.2010248,83.9961817,805.1964718,3.36,1614159696635.jpg,Gagan Ayurvedic,12,n/a,1,no,n/a,n/a,n/a,n/a,n/a,n/a
6,15,public_places,stadium,28.1799488,83.9922768,803.8347023,1.733,1614157567844.jpg,Stadium,n/a,n/a,500,yes,5000,1000,n/a,n/a,n/a,n/a
7,15,emergency_services,health_facilities,28.1804048,83.9921021,804.2459417,2.24,1614157460961.jpg,RSB home health Clinic,24,n/a,10,no,n/a,n/a,9820000000,n/a,n/a,n/a
8,15,utility_infrastructure,telecommunication,28.1829723,83.9937368,804.4650158,1.816,1614157214421.jpg,n/a,24,,,,,,,,,
9,15,public_places,school_colleges,28.1840307,83.9938076,804.6869935,1.983,1614157080250.jpg,View point school,n/a,n/a,1000,no,n/a,n/a,n/a,n/a,n/a,n/a
10,15,emergency_services,health_facilities,28.1847535,83.9936706,805.1672718,2.225,1614156947362.jpg,Aakash Devi pharmacy,12,n/a,10,no,n/a,n/a,9850000000,n/a,n/a,n/a
11,15,transportation_faciliity,bus_station,28.1851208,83.9938786,805.32505,2.62,1614156867087.jpg,n/a,n/a,n/a,20,no,n/a,n/a,n/a,n/a,n/a,n/a
12,15,geographical_features,park,28.1850588,83.9939726,805.0409284,2.28,1614156794068.jpg,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1500,n/a,n/a
13,15,public_places,school_colleges,28.190286,83.9906028,805.514129,2.283,1614153385847.jpg,Suvatara school,n/a,n/a,1000,no,n/a,n/a,n/a,n/a,n/a,n/a
14,15,public_places,school_colleges,28.1901906,83.9903913,805.6204052,1.928,1614153329856.jpg,ISMT College,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
15,15,public_places,government_offices,28.1923478,83.9900484,806.2265798,1.98,1614153030410.jpg,Annapurna conservation area project,n/a,n/a,n/a,yes,500,100,n/a,n/a,n/a,n/a
16,15,emergency_services,health_facilities,28.1936937,83.9899886,805.9911605,2.68,1614152874168.jpg,Hariyokharka hospital,24,n/a,1000,yes,2000,500,61400000,n/a,n/a,n/a
17,15,public_places,school_colleges,28.1938873,83.9901676,806.3880121,1.98,1614152784985.jpg,Siddha public College,n/a,n/a,1000,no,n/a,n/a,n/a,n/a,n/a,n/a
18,15,business_centres,local_market,28.1946261,83.9903576,806.0306302,2.833,1614152639244.jpg,Gurung Masala Mill,8,n/a,n/a,no,n/a,n/a,9810000000,n/a,n/a,n/a
22,15,public_places,government_offices,28.2011178,83.9955349,806.9512308,1.771,1614151586127.jpg,Embassy of India,n/a,n/a,n/a,yes,1000,500,n/a,n/a,n/a,n/a
23,15,geographical_features,park,28.2011883,83.9954983,807.0548922,1.62,1614151530533.jpg,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,500,n/a,n/a
55,15,security_forces,police_station,28.2000955,84.0000992,753.06,4.984,1614160943177.jpg,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,15,public_places,religious_places,28.1928081,84.0009806,753.06,8.216,1614158134065.jpg,Church,n/a,n/a,n/a,yes,n/a,n/a,n/a,n/a,n/a,n/a
65,15,security_forces,police_station,28.174515,84.0028936,753.06,4.766,1614155100486.jpg,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,762
66,15,business_centres,factory,28.1797649,84.00155,753.06,3.966,1614154478719.jpg,GB paper industries,10,n/a,n/a,yes,200,60,n/a,n/a,n/a,n/a
67,15,business_centres,factory,28.1798501,84.0015234,753.06,3.9,1614154382995.jpg,Drinking water and beverage,10,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
75,15,business_centres,factory,28.1858074,83.9988017,752.9955058,3.9,1614152433924.jpg,Furniture facilities,12,n/a,n/a,yes,250,20,n/a,n/a,n/a,n/a
76,15,business_centres,local_market,28.1913694,83.9962483,916.5640087,4.588,1614151120986.jpg,Animal breeding,12,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
77,15,business_centres,financial_institude,28.1945652,83.9961,916.5018267,5,1614150807180.jpg,Saving and credit cooperative,8,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
78,15,emergency_services,health_facilities,28.1945964,83.9960887,916.5365726,4.56,1614150744855.jpg,Medicines,15,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
79,15,geographical_features,park,28.1954628,83.992937,916.7088765,4.525,1614149830344.jpg,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
80,15,business_centres,factory,28.1965637,83.991119,917.0541436,3.927,1614149342187.jpg,Metal factory,12,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
81,15,geographical_features,park,28.1982233,83.9916282,917.2286537,4.725,1614149088572.jpg,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
